serial,brandname,location,batch group FAMILY,active,stockc,boat name,batch,planned ETA,date type,standard paint,paint,colour descr,paint_type,CoilSeats,MPRouter,cprouterplate,MpKeel,mppresstanks,mppresstransom,mppresspunt,metalprepcoilone,metalprepcoiltwo,rotomolder,metalprepguillopress,metalprepgunnels,metalprepext.misc,metalpreppressone,metalpreppresstwo,metalprepbulkparts,Router1,Router2,metalpreppreweld,metalprepseats,metalprepkeelweld,metalpreptransompart,stretchbottomsides,trimbottomside,stretchtopsides,trimstretchtopsides,weldpartsassembly,WeldPartsD,WeldPartsEHTroof,weldpartsb,weldpartsbowriderplateWPbunks,weldpartsc,weldpartscabin,Weldcabintopfit,weldpartsmiscparts,weldpartstank,transomassembly,hullstack,hullsweld,hullstig,WELD1,WELD1assist,WELD2,WELD3,WELD4,WeldQCsmall,RivetSeats,Linish,prepaintclean,StripeFab,CleanCabin,QC1small=cleanlarge=weld,ReworkfromRack,ReworkMovetoPackage,PrintWrap,carpentermarking,carpenterwood,carpentercarpet,MoveBoat2,PaintWash,paintprep,PaintEtch,paintcoating,PaintTwoTone,PaintRepair,RotoFit,UnwrapPlate,QC2PaintQCrotofit,LaminateWrap,StoreKitDF1F2notfortimes,WindscreensSection1of2,CanopyBendBows,CanopyCutBows,CanopyExtras,CanopySew,ApplyWrap,FitOutdashes,HtopAssbly,FitOut1,FitOut2,StoreKitF3F4notfortimes,FitOut3,FitOut4,FitOut5,stripes,QC3,TrailerFitUnderBoatHoist,CanopyFit,rigoutboard,unboxfitmotor,OutboardPD,OutboardRunforPD,PackagingpreQC4,QC4FinalCheck,transportcheckmoveboat,ShrinkWrap
366925,Quintrex,Plate Boat,X01,Y,BM610THTI,Quintrex 610 Trident Hard Top,XCONFIRMED,1/09/2023,FCAST,YES,TWHITE,Telwater White,ONETONE,0,0.86,7.5,0.36,0,0,0,0.6,0,1.86,4,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,6.5,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,7.75,0.43,1,0,0,0,0,0,2.36,1.62,0,0,9.24,0.65,1.63,0,0.43,1.75,0.33,0,0,0,0.16,0,0,0,0,0,0,0.33,4.63,6.16,0,4.06,6.29,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
366690,Quintrex,Plate Boat,X01,Y,BM610THTI,Quintrex 610 Trident Hard Top,XCONFIRMED,1/08/2023,FCAST,YES,BLACKFS,Black Two Tone Full Sides,TWOTONE,0,0.86,7.5,0.36,0,0,0,0.6,0,1.86,4,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,6.5,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,7.75,0.43,1,0,0,0,0,0,2.36,1.62,0,0,9.24,0.65,1.63,0,0.43,1.75,0.33,0,0,0,0.16,0,0,0,0,0,0,0.33,4.63,6.16,0,4.06,6.29,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
354404,Quintrex,Plate Boat,X01,Y,BM610THTI,Quintrex 610 Trident Hard Top,X221003,24/11/2022,ETA,YES,BLACKFS,Black Two Tone Full Sides,TWOTONE,0,0.86,7.5,0.36,0,0,0,0.6,0,1.86,4,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,6.5,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,7.75,0.43,1,0,0,0,0,0,2.36,1.62,0,0,9.24,0.65,1.63,0,0.43,1.75,0.33,0,0,0,0.16,0,0,0,0,0,0,0.33,4.63,6.16,0,4.06,6.29,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
372189,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,1/08/2023,FCAST,YES,BLACKFS,Black Two Tone Full Sides,TWOTONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
371137,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,14/09/2023,FCAST,YES,TWHITE,Telwater White,ONETONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
372840,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,31/08/2023,FCAST,YES,TWHITE,Telwater White,ONETONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
369261,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,2/08/2023,FCAST,YES,BLACKFS,Black Two Tone Full Sides,TWOTONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
373067,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,1/09/2023,FCAST,YES,TWHITE,Telwater White,ONETONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
357958,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,1/09/2023,FCAST,YES,TWHITE,Telwater White,ONETONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
371283,Quintrex,Plate Boat,X02,Y,BM610TI,Quintrex 610 Trident,XCONFIRMED,1/11/2023,FCAST,YES,TWHITE,Telwater White,ONETONE,0,0.86,6,0.36,0,0,0,0.6,0,1.86,3.5,0.2,3,1,1,1,0,0,2,0,0,0,1.4,0.7,0.9,0.7,2.09,0,0,0,3,1.75,4.07,0,2.01,1.43,2.4,4.44,3.55,0,4.5,0.4,4,6.5,19.5,0,0,0,6.5,0.43,1,0,0,0,0,0,2.36,1.38,0,0,7.59,0.65,1.3,0,0.43,1.3,0.33,0,0,0,1.14,0,0,0,0,0,0,0,4.81,5.16,0,3.49,5.23,0,0.58,0,0,0,0,0.21,0,0,0.8,0,0,0
